x,labels,1y,2y,3y,4xBg,4yBg,4xBth,4yBth,4xCombo,4yCombo
1.26951e-07,8.74126e+04,9.96010e-01,1.21156e+04,7.06998e+08,4.84476e-03,1.83614e-01,1.18902e-03,9.96010e-01,1.46334e-03,9.96010e-01
2.54527e-07,8.74126e+04,3.99002e+00,1.95272e+04,7.04585e+08,1.20417e-02,5.93332e-01,3.00599e-03,3.99002e+00,3.63716e-03,3.99002e+00
5.11644e-07,8.74126e+04,1.09761e+01,2.15381e+04,4.79663e+08,3.00325e-02,1.31553e+00,7.62605e-03,1.09761e+01,9.07122e-03,1.09761e+01
1.03369e-06,8.74126e+04,4.79022e+01,3.74410e+04,5.12860e+08,7.53982e-02,4.62023e+00,1.94774e-02,4.79022e+01,2.27737e-02,4.79022e+01
1.56650e-06,8.74126e+04,2.53491e+02,1.14986e+05,1.18175e+09,1.29918e-01,2.15032e+01,3.39040e-02,2.53491e+02,3.92413e-02,2.53491e+02
2.11039e-06,8.74126e+04,6.47703e+02,1.98906e+05,1.66371e+09,1.91903e-01,5.01111e+01,5.04458e-02,6.47703e+02,5.79636e-02,6.47703e+02
3.23283e-06,8.74126e+04,4.19062e+03,7.36401e+05,4.58711e+09,3.35364e-01,2.84198e+02,8.90812e-02,4.19062e+03,1.01296e-01,4.19062e+03
4.40394e-06,8.74126e+04,1.69651e+04,1.98912e+06,1.00069e+10,5.02630e-01,1.04575e+03,1.34523e-01,1.69651e+04,1.51818e-01,1.69651e+04
5.62703e-06,8.74126e+04,5.48892e+04,4.66955e+06,1.98314e+10,6.92732e-01,3.13674e+03,1.86516e-01,5.48892e+04,2.09237e-01,5.48892e+04
1.26951e-07,2.18531e+05,2.99202e+00,1.45581e+04,8.49530e+08,1.21119e-02,5.51576e-01,2.97256e-03,2.99202e+00,3.65836e-03,2.99202e+00
2.54527e-07,2.18531e+05,8.98004e+00,1.75794e+04,6.34303e+08,3.01043e-02,1.33537e+00,7.51498e-03,8.98004e+00,9.09290e-03,8.98004e+00
5.11644e-07,2.18531e+05,4.09162e+01,3.21156e+04,7.15230e+08,7.50813e-02,4.90398e+00,1.90651e-02,4.09162e+01,2.26780e-02,4.09162e+01
1.03369e-06,2.18531e+05,3.28341e+02,1.02655e+05,1.40614e+09,1.88495e-01,3.16690e+01,4.86935e-02,3.28341e+02,5.69344e-02,3.28341e+02
1.56650e-06,2.18531e+05,1.73553e+03,3.14902e+05,3.23635e+09,3.24795e-01,1.47221e+02,8.47599e-02,1.73553e+03,9.81032e-02,1.73553e+03
2.11039e-06,2.18531e+05,7.08483e+03,8.70284e+05,7.27933e+09,4.79757e-01,5.48135e+02,1.26115e-01,7.08483e+03,1.44909e-01,7.08483e+03
3.23283e-06,2.18531e+05,6.98593e+04,4.91044e+06,3.05876e+10,8.38411e-01,4.73770e+03,2.22703e-01,6.98593e+04,2.53239e-01,6.98593e+04
4.40394e-06,2.18531e+05,2.74450e+05,1.28715e+07,6.47540e+10,1.25658e+00,1.69174e+04,3.36309e-01,2.74450e+05,3.79544e-01,2.74450e+05
5.62703e-06,2.18531e+05,1.29740e+06,4.41492e+07,1.87500e+11,1.73183e+00,7.41425e+04,4.66289e-01,1.29740e+06,5.23093e-01,1.29740e+06
5.07044e-08,8.74126e+05,2.99202e+00,1.20993e+04,1.33137e+09,1.45733e-02,7.32370e-01,3.49734e-03,2.99202e+00,4.40182e-03,2.99202e+00
1.26951e-07,8.74126e+05,1.19741e+01,1.45654e+04,8.49954e+08,4.84476e-02,2.20741e+00,1.18902e-02,1.19741e+01,1.46334e-02,1.19741e+01
2.54527e-07,8.74126e+05,9.58064e+01,4.68877e+04,1.69182e+09,1.20417e-01,1.42468e+01,3.00599e-02,9.58064e+01,3.63716e-02,9.58064e+01
4.08493e-07,8.74126e+05,5.07982e+02,1.33844e+05,3.48260e+09,2.23668e-01,6.52691e+01,5.64837e-02,5.07982e+02,6.75582e-02,5.07982e+02
5.11644e-07,8.74126e+05,1.49601e+03,2.93559e+05,6.53768e+09,3.00325e-01,1.79303e+02,7.62605e-02,1.49601e+03,9.07122e-02,1.49601e+03
7.71351e-07,8.74126e+05,1.09770e+04,1.25861e+06,2.11061e+10,5.13982e-01,1.15896e+03,1.31829e-01,1.09770e+04,1.55246e-01,1.09770e+04
1.03369e-06,8.74126e+05,4.49092e+04,3.51017e+06,4.80816e+10,7.53982e-01,4.33155e+03,1.94774e-01,4.49092e+04,2.27737e-01,4.49092e+04
1.29874e-06,8.74126e+05,1.21755e+05,7.05880e+06,8.25797e+10,1.01651e+00,1.09440e+04,2.64061e-01,1.21755e+05,3.07033e-01,1.21755e+05
1.56650e-06,8.74126e+05,2.39520e+05,1.08649e+07,1.11662e+11,1.29918e+00,2.03180e+04,3.39040e-01,2.39520e+05,3.92413e-01,2.39520e+05
2.11039e-06,8.74126e+05,6.93612e+05,2.13004e+07,1.78164e+11,1.91903e+00,5.36630e+04,5.04458e-01,6.93612e+05,5.79636e-01,6.93612e+05
2.66570e-06,8.74126e+05,3.09780e+06,7.00710e+07,4.98720e+11,2.60537e+00,2.22984e+05,6.88797e-01,3.09780e+06,7.86942e-01,3.09780e+06
